SubjectID, TrialID, TrialPhase, Time, HMD_x, HMD_y, HMD_z, HMD_Displacement, HMD_Rotation_x, HMD_Rotation_y, HMD_Rotation_z, HMD_RotationalDisplacement, LeftHand_x, LeftHand_y, LeftHand_z, LeftHand_Displacement, RightHand_x, RightHand_y, RightHand_z, RightHand_Displacement, LookingAt, IsRelevant
1, 0, 0, 0, 3.19, 0, -0.02, , 0, -0.7071068, 0, , 0.1899996, 3, -0.7700005, , 0.1899996, 3, 0.7299995, , StimulusBase, 0
1, 0, 0, 0.02, 3.19, 0, -0.02, , 0, -0.7071068, 0, , 0.1899996, 3, -0.7700005, , 0.1899996, 3, 0.7299995, , StimulusBase, 0
1, 0, 0, 0.3533334, 3.803068, 4.81738, -1.583072, , 0.3543416, 0.7812076, -0.005082294, , 3.19, 0, -0.02, , 3.263985, 4.562325, -0.8208554, , ceiling, 0
1, 0, 0, 0.3887813, 4.139413, 5.008752, -1.417249, , 0.3460001, 0.7346061, 0.1436694, , 3.19, 0, -0.02, , 3.756773, 5.015573, -1.071156, , ceiling, 0
1, 0, 0, 0.404247, 4.137809, 4.993926, -1.417103, , 0.3459527, 0.7342929, 0.1369314, , 3.19, 0, -0.02, , 3.751977, 5.000794, -1.06821, , ceiling, 0
1, 0, 0, 0.4156131, 4.120822, 4.956822, -1.417287, , 0.3426076, 0.7371338, 0.1169378, , 3.19, 0, -0.02, , 3.752836, 4.978815, -1.065231, , ceiling, 0
1, 0, 0, 0.4229725, 4.115652, 4.939443, -1.414811, , 0.3388417, 0.738904, 0.1061567, , 3.19, 0, -0.02, , 3.748711, 4.965788, -1.068309, , ceiling, 0
1, 0, 0, 0.4326358, 4.117788, 4.92194, -1.414409, , 0.3400121, 0.7322382, 0.09235461, , 3.19, 0, -0.02, , 3.740481, 4.948784, -1.065068, , ceiling, 0
1, 0, 0, 0.4439868, 4.106488, 4.8929, -1.417469, , 0.3428922, 0.7278646, 0.08660334, , 3.19, 0, -0.02, , 3.745424, 4.933112, -1.064898, , ceiling, 0
1, 0, 0, 0.4555438, 4.10369, 4.874111, -1.414798, , 0.3421241, 0.7263297, 0.07548341, , 3.19, 0, -0.02, , 3.747503, 4.920782, -1.064345, , ceiling, 0
1, 0, 0, 0.469485, 4.099916, 4.855236, -1.411658, , 0.3416425, 0.7250116, 0.06431717, , 3.19, 0, -0.02, , 3.744753, 4.906415, -1.065512, , ceiling, 0
1, 0, 0, 0.493525, 4.082067, 4.806778, -1.41069, , 0.3390469, 0.7220384, 0.04756208, , 3.19, 0, -0.02, , 3.727709, 4.875731, -1.071187, , ceiling, 0
1, 0, 0, 0.5116938, 4.077312, 4.785907, -1.408768, , 0.3355732, 0.7210991, 0.04130924, , 3.19, 0, -0.02, , 3.722848, 4.856941, -1.07213, , ceiling, 0
1, 0, 0, 0.5386512, 4.055027, 4.724407, -1.412135, , 0.3418847, 0.7170218, 0.0213318, , 3.19, 0, -0.02, , 3.699706, 4.804005, -1.084998, , ceiling, 0
1, 0, 0, 0.5619208, 4.035245, 4.684056, -1.416071, , 0.3497825, 0.7134063, 0.001121402, , 3.19, 0, -0.02, , 3.68217, 4.763158, -1.093271, , ceiling, 0
1, 0, 0, 0.5798702, 4.018011, 4.641014, -1.417924, , 0.3487554, 0.7125705, -0.0214209, , 3.19, 0, -0.02, , 3.676656, 4.742102, -1.095773, , ceiling, 0
1, 0, 0, 0.8166636, 3.861125, 4.310673, -1.39975, , 0.2615955, 0.7059368, -0.2059461, , 3.19, 0, -0.02, , 3.670502, 4.51792, -1.040705, , wall2, 0
1, 0, 0, 0.9144161, 3.450327, 4.001123, -1.582305, , 0.2568273, 0.7065268, -0.2449343, , 3.19, 0, -0.02, , 3.635724, 4.494691, -1.043326, , wall2, 0
1, 0, 0, 0.9543577, 3.546907, 4.049746, -1.526942, , 0.2438492, 0.7130701, -0.2744611, , 3.19, 0, -0.02, , 3.627231, 4.473962, -1.031841, , wall2, 0
1, 0, 0, 0.9757302, 3.54664, 4.033741, -1.524436, , 0.232257, 0.7184944, -0.2860179, , 3.19, 0, -0.02, , 3.620148, 4.461747, -1.031358, , wall2, 0
1, 0, 0, 0.9967452, 3.585939, 4.041859, -1.502483, , 0.2232931, 0.7200948, -0.2986313, , 3.19, 0, -0.02, , 3.612278, 4.443093, -1.032603, , wall2, 0
1, 0, 0, 1.020646, 3.616076, 4.039958, -1.485263, , 0.2103668, 0.7195926, -0.3156087, , 3.19, 0, -0.02, , 3.60254, 4.414872, -1.033585, , wall2, 0
1, 0, 0, 1.035465, 3.605887, 4.019619, -1.490763, , 0.2033984, 0.7193734, -0.3267357, , 3.19, 0, -0.02, , 3.594819, 4.392815, -1.03647, , floor, 0
1, 0, 0, 1.05315, 3.62913, 4.004281, -1.474989, , 0.1978372, 0.7188813, -0.3553478, , 3.19, 0, -0.02, , 3.585291, 4.373052, -1.031433, , floor, 0
1, 0, 0, 1.079266, 3.615855, 3.953698, -1.476396, , 0.1981022, 0.7192268, -0.3832958, , 3.19, 0, -0.02, , 3.560782, 4.33068, -1.042964, , floor, 0
1, 0, 0, 1.093493, 3.641572, 3.938888, -1.461883, , 0.1861546, 0.7168887, -0.4106832, , 3.19, 0, -0.02, , 3.580953, 4.328134, -1.032919, , floor, 0
1, 0, 0, 1.111583, 3.635418, 3.92062, -1.468264, , 0.1733084, 0.7166163, -0.4228399, , 3.19, 0, -0.02, , 3.573042, 4.2984, -1.037406, , floor, 0
1, 0, 0, 1.125042, 3.671784, 3.933693, -1.4543, , 0.1609394, 0.7176374, -0.4322921, , 3.19, 0, -0.02, , 3.575856, 4.278491, -1.038589, , floor, 0
1, 0, 0, 1.138293, 3.668728, 3.890508, -1.46293, , 0.1423315, 0.7175154, -0.455739, , 3.19, 0, -0.02, , 3.574149, 4.25466, -1.040818, , floor, 0
1, 0, 0, 1.152882, 3.700499, 3.8938, -1.450684, , 0.1307504, 0.7217711, -0.4615191, , 3.19, 0, -0.02, , 3.573432, 4.226287, -1.044748, , floor, 0
1, 0, 0, 1.1658, 3.702826, 3.877758, -1.453225, , 0.1193608, 0.7255873, -0.4664816, , 3.19, 0, -0.02, , 3.570277, 4.198857, -1.048158, , floor, 0
1, 0, 0, 1.179061, 3.704634, 3.864568, -1.456107, , 0.1059922, 0.7282262, -0.4740091, , 3.19, 0, -0.02, , 3.569446, 4.175169, -1.048324, , floor, 0
1, 0, 0, 1.195368, 3.733396, 3.853586, -1.450691, , 0.07507579, 0.736645, -0.4841654, , 3.19, 0, -0.02, , 3.563471, 4.140765, -1.04904, , floor, 0
1, 0, 0, 1.207358, 3.737963, 3.835622, -1.456794, , 0.06023262, 0.7431847, -0.4845046, , 3.19, 0, -0.02, , 3.566944, 4.120209, -1.050208, , floor, 0
1, 0, 0, 1.219561, 3.76441, 3.838843, -1.447666, , 0.03656524, 0.748055, -0.4884558, , 3.19, 0, -0.02, , 3.565658, 4.098903, -1.054105, , floor, 0
1, 0, 0, 1.2331, 3.768761, 3.826066, -1.4505, , 0.01869386, 0.7510813, -0.4949451, , 3.19, 0, -0.02, , 3.564005, 4.075285, -1.057291, , floor, 0
1, 0, 0, 1.244955, 3.772283, 3.814126, -1.452604, , 0.005292654, 0.7514106, -0.5025476, , 3.19, 0, -0.02, , 3.566803, 4.054815, -1.057288, , floor, 0
1, 0, 0, 1.257528, 3.789444, 3.813151, -1.444559, , -0.007335871, 0.7496689, -0.5131903, , 3.19, 0, -0.02, , 3.570317, 4.031848, -1.057614, , floor, 0
1, 0, 0, 1.269343, 3.808793, 3.817379, -1.43663, , -0.0235499, 0.7486886, -0.5231067, , 3.19, 0, -0.02, , 3.576193, 4.012034, -1.057819, , floor, 0
1, 0, 0, 1.281914, 3.832627, 3.810344, -1.424227, , -0.04330507, 0.7408077, -0.5496216, , 3.19, 0, -0.02, , 3.577553, 3.993463, -1.055356, , floor, 0
1, 0, 0, 1.293284, 3.836601, 3.802895, -1.422477, , -0.05370712, 0.7347555, -0.5656455, , 3.19, 0, -0.02, , 3.574772, 3.973568, -1.058993, , floor, 0
1, 0, 0, 1.304195, 3.839538, 3.796825, -1.42112, , -0.06500849, 0.7294228, -0.5797836, , 3.19, 0, -0.02, , 3.57698, 3.957717, -1.058311, , floor, 0
1, 0, 0, 1.315104, 3.854463, 3.80237, -1.412304, , -0.07657769, 0.7257796, -0.5907705, , 3.19, 0, -0.02, , 3.578864, 3.943861, -1.058333, , floor, 0
1, 0, 0, 1.326119, 3.857877, 3.796062, -1.411772, , -0.08582419, 0.721338, -0.6013965, , 3.19, 0, -0.02, , 3.576768, 3.928071, -1.057669, , floor, 0
1, 0, 0, 1.337287, 3.860933, 3.78942, -1.411764, , -0.09573445, 0.7162615, -0.6116768, , 3.19, 0, -0.02, , 3.58022, 3.916185, -1.057564, , floor, 0
1, 0, 0, 1.348424, 3.876783, 3.792584, -1.405529, , -0.108377, 0.712162, -0.6194885, , 3.19, 0, -0.02, , 3.585303, 3.906266, -1.058131, , floor, 0
1, 0, 0, 1.359459, 3.879435, 3.787133, -1.406167, , -0.1169397, 0.7079389, -0.6271727, , 3.19, 0, -0.02, , 3.589604, 3.897446, -1.056409, , floor, 0
1, 0, 0, 1.370602, 3.880027, 3.78341, -1.406237, , -0.1196838, 0.7035797, -0.6354265, , 3.19, 0, -0.02, , 3.591581, 3.887511, -1.055713, , floor, 0
1, 0, 0, 1.381846, 3.891953, 3.786444, -1.398018, , -0.1218333, 0.6988033, -0.6446966, , 3.19, 0, -0.02, , 3.592214, 3.877971, -1.054897, , floor, 0
